seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
4 PCA within_one_ct 10 20000 0.5 0.5 NA INH 0.51430824952303 0.20367617247651 0.537282611833499 1939 969 2527 1263
5 PCA within_one_ct 10 20000 0.15 0.7 NA EX 0.548807314529395 0.256269492382568 0.0263777522193504 2001 1400 2527 379
4 PCA within_one_ct 10 20000 0.3 0.15 NA INH 0.110223628254872 0.0551827533229441 0.00800541615268211 1939 290 2527 758
10 PCA within_one_ct 10 20000 0.7 0.3 NA INH 0.555155722941891 0.267455530395914 0.707827317347608 1939 581 2527 1768
6 PCA within_one_ct 10 20000 0.15 0.5 NA ODC 0.214764319896472 0.15817953984514 0.00196816786889762 12220 6110 2527 379
9 PCA within_one_ct 10 20000 0.5 0.15 NA INH 0.10620920909762 0.0547561434599624 0.103857616800394 1939 290 2527 1263
7 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.429335835702352 0.424435894990697 0.424435894990697 20004 6001 2527 379
2 PCA within_one_ct 10 20000 0.3 0.7 NA ODC 0.651453877122099 0.259890480985784 0.512534322388623 12220 8554 2527 758
3 PCA within_one_ct 10 20000 0.7 0.5 NA ODC 0.795762018497213 0.578808348074621 0.782179980500212 12220 6110 2527 1768
9 PCA across_cts 10 20000 0.15 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.000946836740630119 0.000954290335005936 0.000954290335005936 20004 3000 2527 379
6 PCA within_one_ct 10 20000 0.7 0.5 NA ODC 0.779726030980478 0.565258646344011 0.764147090133472 12220 6110 2527 1768
3 PCA within_one_ct 10 20000 0.3 0.7 NA ODC 0.587906110650486 0.25897044236611 0.413627831883862 12220 8554 2527 758
4 PCA within_one_ct 10 20000 0.5 0.3 NA INH 0.241332146063222 0.120174073033855 0.0846321772594751 1939 581 2527 1263
9 PCA within_one_ct 10 20000 0.7 0.15 NA INH 0.115642526671723 0.0597352421648093 0.0378427042468348 1939 290 2527 1768
8 PCA within_one_ct 10 20000 0.5 0.7 NA MG 0.567849437273443 0.303306646771351 0.058904665312778 1292 904 2527 1263
10 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.392656387180385 0.361872568572189 0.361872568572189 20004 10002 2527 379
9 PCA within_one_ct 10 20000 0.7 0.3 NA INH 0.531592248610553 0.234900817311593 0.702202838128037 1939 581 2527 1768
5 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.179015213363717 0.164118381518851 0.164118381518851 20004 14002 2527 379
1 PCA across_cts 10 20000 0.15 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.000628721807771959 0.000550372422157164 0.000550372422157164 20004 3000 2527 379
4 PCA across_cts 10 20000 0.15 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.0147370464359701 0.00919225240643995 0.00919225240643995 20004 6001 2527 379
4 PCA within_one_ct 10 20000 0.3 0.7 NA INH 0.569983679302419 0.262551897627109 0.0812230876213142 1939 1357 2527 758
